n,correct digits (estimated),N,lambda
12, 1028, 3039, 5.79936980435650007931502531100775861110118680221913986953285811074618843681699319696879514553777035012869434805481049231575827634644993997070508206532530874697315371315188885177125892090221710437670834112609152020355781850671752726500702826801597444795750297534360752523950949619146116909610319106700248950694571692345986173578261132154899898849076488411711556148910565084484073280848791629585043726758016504037653586528972623979781755309925194325789362729284114923196868183612232196298790473951011135247616057930166263646640994957367033020019481121762470519691347342669042822747655661687046594569844674204873671212721695704612761196133112808094517376106434053269986616187793126195642976814599617987133525531389780983202451223284604551047722085043377722892886823169234551406684085298641902112639037113636546738592484338991992807303755960601436952761294961895230633857726059943346761352954006354816969829136891346605408759729493169984014644191923289078001888602365790143194001132852321436738795003842905290001114871736885162805602
13, 1021, 3039, 5.7959002668560147097907710633371318342893868231820410585544678194470718717331363255720441226809687965323772022847584729590891542658084759594993044398456178527913454240053160761372715089385416545931270484223778714189661940737337289874541371997873555188852401504700596814706167638495140821353453502976544567996889022972307751996161367632558620812575683528497106476261352144323986855901745339253400312359523013962702718442600638284823287586629214251951788656093935515163740032069421108941515875453143422819410208051014353633218865499703903580975796386094312901530316946023024159017987983196589907443683494065398285904511679875053757396188331947159899332183020042165274957341891457792099630953838504712446964805423928234878073875631854232368752774879114699734942466381657610313229669357634794898297650612608895624556170221995941851317394898052700618177244475996687890509954143213026896803847092695328239436541445250988707871644312674342277658363958158166270733956754629529771510083778168471296693674888396648297152439654933809
14, 1016, 3039, 5.79335700527119455327322707868382869197387200892681406992689204559603259010450585871282265061101911759070526015163305306198011675817477578899500007601521522787674008384640374112334086329751248905689191352363650063644297500769688819816470610259603704091202546113835807188190498540774586690089713548724679764678538186613757807179010789183459120487124188702201765548953016063568041819923922652282041541473644686095505262600407288733072190640625368365635839263525432007912322064136146793499215064891038697157098610447058147766022469286837653312256526137644654177742182880502687324520071591268191240561768119251665185430541551841779828942617510372877959813444562981240087660607524002208801910644948926972111504184625037844216799901733424369718198822590198895058269517244187419961604292107680688342656278718456827536885775957838936972635887441024554097916030474276832739808360554148599944631082750694403202956219107601652226428893945072155537848023132222564318834863896678129595676498986434385215787392751619186716119068822
15, 1012, 3039, 5.7914500106515799756938484981496811635228894252202196203798434482862138514342360658740716942857522414350766865212260145145641983486373788074008944961734464671820339600929493343806695005649407129405302548294521166083976807986022743929162904318798271808412503057524104268637474744845913392466760992731356314353454136310054603013892324158581413965878655651685185624331946774471501980971175532725297894877003752920192840565747989945495735028977016315373360512453189480281544198953309715396199270184455504715913871964288974966723613815976902671956401179336584035875935369257517446312301485291436504276621350846516509754229669373398583653939123546303332089074358832555997010492181387266473733551136129831295748984433121544057240569809837183536791783712703801834174040842531727562102560644610405288610606119215682425522995788081380282959013410155038587836132818924327028939611791192786280519469879975039601974492698724927677113605903075403584847740665716359724538216694937365928146399579529932688281389295723304602884294
16, 1009, 3039, 5.7899918999902085343497522138280801741824641952139725717183654385200867107471214662141980374321425547189601971729137452835283513997350303749266440064905339680209141085081513861118899690225794568871179660523295917881499008274744936046012642933036695662548342099693462599476430076462073464804642463202112344708972909490523044358512207028613252942760515649299763685833003868787781273785695724322528111740421634282992349663815634305504264495908467344324566211867475857062424514423793485070663445696147164668910620898161142293254804405142809170708416913435594506297229946382663240323878049929555401303236500331092651061158370487078160147386032765919801133913558358572013069946301808830285905144021682183590570252846946499510931120002304228145828805909420241432410585307062900599149550638046159518518804584712753156990528828057600826477781475657290096460627300691748897458471955015937488763273103270684210851434213622002490389997808506447530717118840146648743298884232276362640684244597016070763457914841764984420687
17, 1006, 3039, 5.7888578719811046986171966351899455269041934747495241722042204584500783917952787686740769373814394385645367670606292228261327506211163374903826089762395651767479148972549115975632572720237048210828244280237134641221866496292518748000600240260327409049223743801979296156121004703913707954571494338594735864926681546796176659074572939826264843848999996080091677575634674703521378531783648192023812045701125370477720485413394169535670915771631100408463126394397416356277535929146349204093545659063859381683418080436377439011687010089796708901173321785009453736378657371259358915630753482781624625280873207655098314630093080960348206943863619168560639817995972062994799977130045644239710590268726170032618248258729803348968474493592567059478586467296966252930988391204536725034845143133256526823166706022633336204566150115914847620670813519889342222622925660747116875027761249508556153146749127554875442907607803824327726656043537039537932948832799153802205168051797731915760576168497297456086113748840380218184
18, 1006, 3039, 5.7879625918578468642125683801538930922402544098186187911270482630566117185758807882808198565388909992047470466341170883516935584525305901989205451371794479529831654828863575551624663034330688487416353476268125595989247741091535569424876092477476360778720569119721100087857930049167149229310685766984954449074360527527565436367679959149829487153400687777763154729263799699970136000905219361152671867529355569235829581787856592455115919771357532778356269723261996905006197038332811977244021705023623575910713623745936735482469826236703832165083436733814344345554604502737762440379205287361960318057808365570613811125874854191705952365221668416248971977824217217641521118749414089031769996062915888707395591084104911306009689135527847876193367895314582089155257902906215314338313510887993051728154878882523248432992861635926906972291473028847870302998745139037452510123525128010302446473884275901459860711881019260445683534078528055487974633085484809062673091838954431572846883520708823869061537291687871559227
19, 1004, 3039, 5.78724635138196124300803664483474474767926398971260222839108215683634470213282550331550189749532680667816608709614452151170569096058270471338511532481434771662032663022818735612688487800256527124604133489799251761526987112751217042575115214032190599146955968127565656288588090609355466124851526005900164255777147643240503802574088290040603407728453219633840631405736906289845223247660741673956437545606111210042356915334619806889364630504847278010304213277557330579219104197554839087062113803421051782389095104767896046069938450707452872902256565528536000663515001699758979616144121220792531631447894141926449445673171020992752993375426527396658495847838900955813054187843358198083900133286033786064157820513569452518573368132019056951484458252908767260374741506059961025883701405734622942683244002284948039369194271472994157095456783937431610831032466143968147335705961460630594744451827548030676247906083116580707439574626014935667072533086641733117094630241176729711206453934615573200266343131659978093
20, 1003, 3039, 5.7866665141403722135309129620257370578364779208083490530513026344086917611579254142893673102654151779820817289240722855466818064806370390947811715262245228815924070808023408710139085250898398486878493598216725975354086135560929183405791619339624689928288238177742438307171047566878880390222783744945530920574921397224761970536872407387890186116059679563453163791777990836423112480022693552900435247313561209611797025924636151573558175726485961741914120886264030213598442918693908902211933991610755033380432387009252756694612984121411698412796861745910485584101581573839432506258221723102135999032699113333752638152358889235593032157419782965729095517264509079130026487194522322461548490524837579073975911975842708370447241741027354606957989922219173331880915467948617423827281493273126922552243062225619369622384201057299770489877858745273704292671045721505894935412658987272154473802515013136162827512966543234815610134245099560789527998685828022288112966573584756062864227939986938405295259940586586802
21, 1003, 3039, 5.786192077596844273028203757329512440058051498964725981303579269538858699510230850352548588117795308467388599748661019505636498047874662704960419267893065484035487717824811543289182674205259105147299519386912089221331514843176244920973148378039056482881139391952957470513871462223745548922288486225962946033664183951661087858302676441644101031417866696253897437826955080505610635200589659203097577961825485122152799462490738895866055356113634888167682480091866217068990051110167705238848131591705272800325186946560029502713195252876477139694204540763743852801369534913842674407209444392355128837089354505225189892916668924924001577636354085439769972672269387525488454157314531203150469237856913357303555043803531493666880530048649566977166283002178298770772176027613907443663495467344013243584589980816553985192422848892946433744359897101265711285498699786467398709688364520307591066579080911902747183699580665794336639191845879041734486252951686438392990818131812867433947188863737758141707613728153208
