N,λ_N_str,λ_N_dump
3,[7.255197456936871402376313030568622929 +/- 2.03e-37],741549edb90f483f4eac6efabedb5a73 -7c a7f8ff7 -97
4,[6.2831853071795864769252867665590057684 +/- 2.12e-38],c90fdaa22168c234c4c6628b80dc1cd1 -7d 10000001 -9a
5,[6.022138 +/- 3.95e-7],c0b55aa2ce520e8c43 -45 b69379f -31
6,[5.917418 +/- 3.53e-7],17ab6f94c82e5545b1 -42 32b64381 -34
7,[5.86645 +/- 1.65e-6],5ddcf9e9c4221a117 -40 3daca7df -32
8,[5.8385 +/- 2.61e-5],175a9d5523a87 -2e 2364f999 -2d
9,[5.821827 +/- 6.37e-7],5d2633d78d6352c7c3 -44 e1c5079 -31
10,[5.811260 +/- 5.29e-7],173ebb089dd8d266f -3e 2f67499b -34
11,[5.8042306 +/- 5.44e-8],5cde20f1917f68b5ef -44 9bab105 -35
12,[5.7993698 +/- 8.98e-8],17328dff7c7bff6d9b -42 2ddb184b -35
13,[5.795900 +/- 4.08e-7],2e5e00f58831b4bf1d -43 25b08d03 -34
14,[5.793357 +/- 1.73e-7],2e58cb8ebd89d522b1 -43 2d010adf -34
15,[5.791450 +/- 1.89e-7],5ca9c77c82adb7517 -40 17e56a8f -33
16,[5.789992 +/- 2.79e-7],1728f3a2fa40618403 -42 2fe5da4d -34
17,[5.788858 +/- 3.02e-7],5c9f296e959dc8de51 -44 173b9dfb -33
18,[5.787963 +/- 5.73e-7],5c9b7ea9a8038e75e3 -44 2c339683 -34
19,[5.787246 +/- 5.07e-7],172623e85452ce76161 -46 29895983 -34
20,[5.786667 +/- 6.31e-7],17258be81c5d6ce1a71 -46 9aed223 -32
21,[5.786192 +/- 2.12e-7],17250f89369c6b79715 -46 23f0f4fd -34
22,[5.785800 +/- 2.54e-7],2e49519408b3021b165 -47 10a08191 -33
23,[5.785473 +/- 6.01e-7],5c914ca5832ebd877 -40 7aebe49 -32
24,[5.785199 +/- 1.96e-7],5c902cebb7f43dd21 -40 1c5cc0a7 -34
25,[5.784967 +/- 2.04e-7],b91e72e45773ac887 -41 1a2cab13 -34
26,[5.784769 +/- 1.77e-7],b91cd40f144a33833 -41 3053f603 -35
27,[5.784600 +/- 5.56e-7],17236e0ef7c0463c11 -42 2ca541b7 -35
28,[5.784453 +/- 4.25e-7],172347bd07534f2c3f -42 2947bc35 -35
29,[5.784327 +/- 4.19e-7],2e464d0d4a532934bf -43 26355097 -35
30,[5.7842163 +/- 6.66e-8],5c8c2663ee14291063 -44 2367c893 -35
31,[5.784120 +/- 3.26e-7],b9178245d394a3bb15 -45 20d916b9 -35
32,[5.7840349 +/- 8.32e-8],1722da09b5e6e72903 -42 3d06fc4d -36
33,[5.7839600 +/- 6.09e-8],b9163343e5f70d58c1 -45 38c34ff1 -36
34,[5.7838937 +/- 8.36e-8],2e456a0acd9b2a7fc7 -43 34dd57c5 -36
35,[5.7838347 +/- 5.27e-8],1722a590bc345f87031 -46 314c1a7b -36
36,[5.7837821 +/- 6.29e-8],172297c7b199a8b4a59 -46 2e077e8d -36
37,[5.7837351 +/- 7.31e-8],17228b7206d46fed5f3 -46 2b082e83 -36
38,[5.7836928 +/- 7.63e-8],2e4500c04520232d13f -47 28479089 -36
39,[5.7836548 +/- 6.74e-8],2e44ecd31d95a067a8b -47 12dfdae5 -35
40,[5.7836205 +/- 6.57e-8],b9136b5e07688214cf -45 46d6947 -33
41,[5.7835895 +/- 3.21e-8],172265491d46dc07051 -46 10a2c2bd -35
42,[5.7835614 +/- 7.79e-8],5c8977a0a615dd14419 -48 7d2870d -34
43,[5.7835358 +/- 6.55e-8],2e44ae65c90be597fdb -47 3aea66c3 -37
44,[5.7835124 +/- 7.27e-8],5c894458f030519b85f -48 3786a8e1 -37
45,[5.7834912 +/- 6.59e-8],2e44970335094bf50d1 -47 68c589b -34
46,[5.7834717 +/- 4.14e-8],5c89199a20e2c6faf9b -48 31792093 -37
47,[5.7834538 +/- 4.93e-8],b9120dc2e265610c4d9 -49 2ec4b0b1 -37
48,[5.7834374 +/- 5.12e-8],b911eb5fd527648bd47 -49 2c40e91b -37
49,[5.7834223 +/- 6.47e-8],2e4472ef38baacb4365 -47 a7a6bcf -35
50,[5.7834084 +/- 6.11e-8],5c88d74a83da30ed1e3 -48 4f769bf -34
51,[5.7833956 +/- 2.69e-8],5c88c9d59adb80dc709 -48 96c9ab7 -35
52,[5.7833837 +/- 6.11e-8],17222f592905f8ff8781 -4a 23cbfc9 -33
53,[5.7833728 +/- 5.77e-8],b91163bf1e20dc3e137 -49 2205424f -37
54,[5.7833626 +/- 4.43e-8],172229cc3acc6563 -3a 205fb7db -37
55,[5.7833531 +/- 2.55e-8],2e444ea2c9ed0ef4fd -43 1ed092ff -37
56,[5.7833443 +/- 2.87e-8],172225031a0aa2fc33 -42 1d5a623f -37
57,[5.7833361 +/- 3.86e-8],b91116ec199247797 -41 37f67f21 -38
58,[5.7833285 +/- 2.14e-8],5c888374b615c1e943 -44 1ab17057 -37
59,[5.7833214 +/- 4.63e-8],5c887bfbf989a4a137 -44 32f6c191 -38
60,[5.7833147 +/- 1.87e-8],5c887500a5345148c1 -44 30af4009 -38
61,[5.7833085 +/- 3.24e-8],5c886e789c726fe189 -44 1744dd03 -37
62,[5.7833026 +/- 5.55e-8],17221a16ae47e07c94b -46 1641e2c9 -37
63,[5.7832972 +/- 3.37e-8],172218a7ac284d5f1dd -46 2a9b2bc5 -38
64,[5.7832920 +/- 5.35e-8],1722174f3f10f88752f -46 519bc79 -35
65,[5.7832872 +/- 3.17e-8],5c88582ec47469f80d -44 9c68401 -36
